run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
2025-04-27_09.46.26,P-1,2612,8245,0,0.0853571028984947,[],0,3,0,[],[],3,[],SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
2025-04-27_09.46.26,S-1,2558,7071,1,0.17916223129529246,"[{'start_idx': np.int64(5040), 'end_idx': np.int64(5109), 'score': np.float64(2.493130748031085)}, {'start_idx': np.int64(5110), 'end_idx': np.int64(5179), 'score': np.float64(4.981603754507366)}, {'start_idx': np.int64(5180), 'end_idx': np.int64(5249), 'score': np.float64(5.4472255244434455)}, {'start_idx': np.int64(5250), 'end_idx': np.int64(5319), 'score': np.float64(5.285431479932309)}, {'start_idx': np.int64(5320), 'end_idx': np.int64(5380), 'score': np.float64(5.177977891621931)}]",0,0,1,[],"[(5290, 5630)]",1,"[{'start_idx': np.int64(5040), 'end_idx': np.int64(5109), 'score': np.float64(2.493130748031085)}, {'start_idx': np.int64(5110), 'end_idx': np.int64(5179), 'score': np.float64(4.981603754507366)}, {'start_idx': np.int64(5180), 'end_idx': np.int64(5249), 'score': np.float64(5.4472255244434455)}, {'start_idx': np.int64(5250), 'end_idx': np.int64(5319), 'score': np.float64(5.285431479932309)}, {'start_idx': np.int64(5320), 'end_idx': np.int64(5380), 'score': np.float64(5.177977891621931)}]",SMAP,"[[5300, 5747]]",[point]
2025-04-27_09.46.26,E-1,2620,8256,3,0.0742846219868096,"[{'start_idx': np.int64(1524), 'end_idx': np.int64(1754), 'score': np.float64(3.3086387037672913)}, {'start_idx': np.int64(4760), 'end_idx': np.int64(4829), 'score': np.float64(7.83523536913877)}, {'start_idx': np.int64(4830), 'end_idx': np.int64(4899), 'score': np.float64(5.881124992141444)}, {'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(7.394966909218179)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(9.600529896620056)}, {'start_idx': np.int64(5460), 'end_idx': np.int64(5529), 'score': np.float64(9.47747153680282)}, {'start_idx': np.int64(5530), 'end_idx': np.int64(5599), 'score': np.float64(9.126113842587259)}, {'start_idx': np.int64(5600), 'end_idx': np.int64(5669), 'score': np.float64(8.786601482615495)}, {'start_idx': np.int64(5670), 'end_idx': np.int64(5716), 'score': np.float64(7.215990430473493)}]",1,0,2,"[[1774, 2004]]","[(5010, 5149), (5570, 5966)]",2,"[{'start_idx': np.int64(1524), 'end_idx': np.int64(1754), 'score': np.float64(3.3086387037672913)}, {'start_idx': np.int64(4760), 'end_idx': np.int64(4829), 'score': np.float64(7.83523536913877)}, {'start_idx': np.int64(4830), 'end_idx': np.int64(4899), 'score': np.float64(5.881124992141444)}, {'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(7.394966909218179)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(9.600529896620056)}, {'start_idx': np.int64(5460), 'end_idx': np.int64(5529), 'score': np.float64(9.47747153680282)}, {'start_idx': np.int64(5530), 'end_idx': np.int64(5599), 'score': np.float64(9.126113842587259)}, {'start_idx': np.int64(5600), 'end_idx': np.int64(5669), 'score': np.float64(8.786601482615495)}, {'start_idx': np.int64(5670), 'end_idx': np.int64(5716), 'score': np.float64(7.215990430473493)}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
2025-04-27_09.46.26,E-2,2620,8272,1,0.057308164255050184,"[{'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(3.234962454920656)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(5.282069560868521)}, {'start_idx': np.int64(5460), 'end_idx': np.int64(5529), 'score': np.float64(6.445455207190564)}, {'start_idx': np.int64(5530), 'end_idx': np.int64(5599), 'score': np.float64(6.606126716257249)}, {'start_idx': np.int64(5600), 'end_idx': np.int64(5669), 'score': np.float64(6.336954058542995)}]",0,0,1,[],"[(5570, 5919)]",1,"[{'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(3.234962454920656)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(5.282069560868521)}, {'start_idx': np.int64(5460), 'end_idx': np.int64(5529), 'score': np.float64(6.445455207190564)}, {'start_idx': np.int64(5530), 'end_idx': np.int64(5599), 'score': np.float64(6.606126716257249)}, {'start_idx': np.int64(5600), 'end_idx': np.int64(5669), 'score': np.float64(6.336954058542995)}]",SMAP,"[[5598, 6995]]",[point]
2025-04-27_09.46.26,E-3,2620,8047,1,0.02035756880904263,"[{'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(3.6589138988720142)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(4.003142829767066)}]",0,0,1,[],"[(5570, 5709)]",1,"[{'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(3.6589138988720142)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(4.003142829767066)}]",SMAP,"[[5094, 8306]]",[point]
2025-04-27_09.46.26,E-4,2620,8094,1,0.056081364594637105,"[{'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(2.688802310299111)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(2.643979233914872)}, {'start_idx': np.int64(5460), 'end_idx': np.int64(5529), 'score': np.float64(0.9368929069923481)}, {'start_idx': np.int64(5530), 'end_idx': np.int64(5599), 'score': np.float64(0.929945104139962)}, {'start_idx': np.int64(5600), 'end_idx': np.int64(5669), 'score': np.float64(0.9844014209861818)}]",0,0,1,[],"[(5570, 5919)]",1,"[{'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(2.688802310299111)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(2.643979233914872)}, {'start_idx': np.int64(5460), 'end_idx': np.int64(5529), 'score': np.float64(0.9368929069923481)}, {'start_idx': np.int64(5530), 'end_idx': np.int64(5599), 'score': np.float64(0.929945104139962)}, {'start_idx': np.int64(5600), 'end_idx': np.int64(5669), 'score': np.float64(0.9844014209861818)}]",SMAP,"[[5450, 8261]]",[point]
2025-04-27_09.46.26,E-5,2620,8034,1,0.10447521135721051,"[{'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(3.9037211726827747)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(3.8475881180915383)}]",0,0,1,[],"[(5570, 5709)]",1,"[{'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(3.9037211726827747)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(3.8475881180915383)}]",SMAP,"[[5600, 5920]]",[point]
2025-04-27_09.46.26,E-6,2620,8040,1,0.00802767030326672,"[{'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(16.06732215232806)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(13.219296147019744)}, {'start_idx': np.int64(5460), 'end_idx': np.int64(5529), 'score': np.float64(9.303922537135948)}]",0,0,1,[],"[(5570, 5779)]",1,"[{'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(16.06732215232806)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(13.219296147019744)}, {'start_idx': np.int64(5460), 'end_idx': np.int64(5529), 'score': np.float64(9.303922537135948)}]",SMAP,"[[5610, 5675]]",[point]
2025-04-27_09.46.26,E-7,2509,8050,1,0.026256047094164965,"[{'start_idx': np.int64(5180), 'end_idx': np.int64(5249), 'score': np.float64(8.988852185305623)}, {'start_idx': np.int64(5250), 'end_idx': np.int64(5319), 'score': np.float64(8.034089543295094)}, {'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(8.780244148572654)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(8.449420836197664)}, {'start_idx': np.int64(5460), 'end_idx': np.int64(5516), 'score': np.float64(6.607956000971292)}]",0,0,1,[],"[(5430, 5766)]",1,"[{'start_idx': np.int64(5180), 'end_idx': np.int64(5249), 'score': np.float64(8.988852185305623)}, {'start_idx': np.int64(5250), 'end_idx': np.int64(5319), 'score': np.float64(8.034089543295094)}, {'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(8.780244148572654)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(8.449420836197664)}, {'start_idx': np.int64(5460), 'end_idx': np.int64(5516), 'score': np.float64(6.607956000971292)}]",SMAP,"[[5394, 5674]]",[point]
2025-04-27_09.46.26,E-8,2620,8272,1,0.05271404465476014,"[{'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(4.173438086186983)}, {'start_idx': np.int64(5460), 'end_idx': np.int64(5529), 'score': np.float64(4.834974741058133)}, {'start_idx': np.int64(5530), 'end_idx': np.int64(5599), 'score': np.float64(5.0292691427501355)}, {'start_idx': np.int64(5600), 'end_idx': np.int64(5669), 'score': np.float64(4.619774265371624)}]",0,0,1,[],"[(5640, 5919)]",1,"[{'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(4.173438086186983)}, {'start_idx': np.int64(5460), 'end_idx': np.int64(5529), 'score': np.float64(4.834974741058133)}, {'start_idx': np.int64(5530), 'end_idx': np.int64(5599), 'score': np.float64(5.0292691427501355)}, {'start_idx': np.int64(5600), 'end_idx': np.int64(5669), 'score': np.float64(4.619774265371624)}]",SMAP,"[[5400, 6022]]",[point]
2025-04-27_09.46.26,E-9,2620,8042,0,0.05929231048925791,[],0,1,0,[],[],1,[],SMAP,"[[5550, 5900]]",[point]
2025-04-27_09.46.26,E-10,2620,8245,4,0.07855695355174407,"[{'start_idx': np.int64(1468), 'end_idx': np.int64(1748), 'score': np.float64(3.0391725088307813)}, {'start_idx': np.int64(1917), 'end_idx': np.int64(2099), 'score': np.float64(2.8090945047781366)}, {'start_idx': np.int64(4760), 'end_idx': np.int64(4829), 'score': np.float64(6.321051448394123)}, {'start_idx': np.int64(4830), 'end_idx': np.int64(4899), 'score': np.float64(4.81925294829943)}, {'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(7.37577667033896)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(11.078871459941158)}, {'start_idx': np.int64(5460), 'end_idx': np.int64(5529), 'score': np.float64(10.57311024899901)}, {'start_idx': np.int64(5530), 'end_idx': np.int64(5599), 'score': np.float64(9.919150940338097)}, {'start_idx': np.int64(5600), 'end_idx': np.int64(5669), 'score': np.float64(9.432282849818208)}, {'start_idx': np.int64(5670), 'end_idx': np.int64(5714), 'score': np.float64(7.749224082752878)}]",2,0,2,"[[1718, 1998], [2167, 2349]]","[(5010, 5149), (5570, 5964)]",2,"[{'start_idx': np.int64(1468), 'end_idx': np.int64(1748), 'score': np.float64(3.0391725088307813)}, {'start_idx': np.int64(1917), 'end_idx': np.int64(2099), 'score': np.float64(2.8090945047781366)}, {'start_idx': np.int64(4760), 'end_idx': np.int64(4829), 'score': np.float64(6.321051448394123)}, {'start_idx': np.int64(4830), 'end_idx': np.int64(4899), 'score': np.float64(4.81925294829943)}, {'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(7.37577667033896)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(11.078871459941158)}, {'start_idx': np.int64(5460), 'end_idx': np.int64(5529), 'score': np.float64(10.57311024899901)}, {'start_idx': np.int64(5530), 'end_idx': np.int64(5599), 'score': np.float64(9.919150940338097)}, {'start_idx': np.int64(5600), 'end_idx': np.int64(5669), 'score': np.float64(9.432282849818208)}, {'start_idx': np.int64(5670), 'end_idx': np.int64(5714), 'score': np.float64(7.749224082752878)}]",SMAP,"[[5000, 5050], [5601, 5871]]","[contextual, contextual]"
2025-04-27_09.46.26,E-11,2620,8254,3,0.08461910511098135,"[{'start_idx': np.int64(1468), 'end_idx': np.int64(1759), 'score': np.float64(3.9332216764921304)}, {'start_idx': np.int64(4760), 'end_idx': np.int64(4829), 'score': np.float64(6.910566546315253)}, {'start_idx': np.int64(4830), 'end_idx': np.int64(4899), 'score': np.float64(5.113023463133753)}, {'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(7.868307263057085)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(11.418826153278367)}, {'start_idx': np.int64(5460), 'end_idx': np.int64(5529), 'score': np.float64(10.80440450467949)}, {'start_idx': np.int64(5530), 'end_idx': np.int64(5599), 'score': np.float64(10.090092902358656)}, {'start_idx': np.int64(5600), 'end_idx': np.int64(5669), 'score': np.float64(9.410790436121093)}, {'start_idx': np.int64(5670), 'end_idx': np.int64(5712), 'score': np.float64(7.83964161253547)}]",1,0,2,"[[1718, 2009]]","[(5010, 5149), (5570, 5962)]",2,"[{'start_idx': np.int64(1468), 'end_idx': np.int64(1759), 'score': np.float64(3.9332216764921304)}, {'start_idx': np.int64(4760), 'end_idx': np.int64(4829), 'score': np.float64(6.910566546315253)}, {'start_idx': np.int64(4830), 'end_idx': np.int64(4899), 'score': np.float64(5.113023463133753)}, {'start_idx': np.int64(5320), 'end_idx': np.int64(5389), 'score': np.float64(7.868307263057085)}, {'start_idx': np.int64(5390), 'end_idx': np.int64(5459), 'score': np.float64(11.418826153278367)}, {'start_idx': np.int64(5460), 'end_idx': np.int64(5529), 'score': np.float64(10.80440450467949)}, {'start_idx': np.int64(5530), 'end_idx': np.int64(5599), 'score': np.float64(10.090092902358656)}, {'start_idx': np.int64(5600), 'end_idx': np.int64(5669), 'score': np.float64(9.410790436121093)}, {'start_idx': np.int64(5670), 'end_idx': np.int64(5712), 'score': np.float64(7.83964161253547)}]",SMAP,"[[5000, 5050], [5614, 5857]]","[contextual, contextual]"
